scenario,gtap_region,resolution,disbursement,gdp_2030,gdp_2040,gdp_2050
22,Rest of landlocked economies in Africa,aggregate,none,-0.048,-0.123,-0.141
22,Rest of the world,aggregate,none,-0.023,-0.072,-0.081
22,Romania,individual,none,-0.023,-0.061,-0.073
22,Russian Federation,individual,none,-0.032,-0.087,-0.107
22,Saudi Arabia,individual,none,-0.085,-0.258,-0.295
22,Serbia,individual,none,-0.023,-0.062,-0.073
22,Singapore,individual,none,-0.070,-0.225,-0.257
22,Slovenia,individual,none,-0.043,-0.123,-0.140
22,South Africa,individual,none,-0.100,-0.227,-0.271
22,Spain,individual,none,-0.042,-0.117,-0.138
22,Sri Lanka,individual,none,-0.057,-0.171,-0.196
22,Sweden,individual,none,-0.028,-0.078,-0.095
22,Syrian Arab Republic,individual,none,-0.070,-0.194,-0.212
22,Thailand,individual,none,-0.078,-0.237,-0.282
22,Trinidad and Tobago,individual,none,-0.137,-0.393,-0.435
22,Tunisia,individual,none,-0.096,-0.285,-0.327
22,Türkiye,individual,none,-0.077,-0.217,-0.262
22,Ukraine,individual,none,-0.085,-0.210,-0.260
22,United Arab Emirates,individual,none,-0.094,-0.282,-0.325
22,United Kingdom of Great Britain and Northern Ireland,individual,none,-0.032,-0.090,-0.106
22,United Republic of Tanzania,individual,none,-0.132,-0.321,-0.366
22,United States of America,individual,none,-0.017,-0.051,-0.059
22,Uruguay,individual,none,-0.087,-0.214,-0.254
22,Uzbekistan,individual,none,-0.014,-0.054,-0.061
22,Venezuela (Bolivarian Republic of),individual,none,-0.029,-0.076,-0.088
22,Viet Nam,individual,none,-0.222,-0.825,-1.003
22,Zimbabwe,individual,none,-0.068,-0.161,-0.179
23,Albania,individual,none,-0.043,-0.153,-0.159
23,Algeria,individual,none,-0.089,-0.295,-0.344
23,Argentina,individual,none,-0.031,-0.095,-0.113
23,Armenia,individual,none,-0.035,-0.098,-0.123
23,Australia,individual,none,-0.071,-0.235,-0.288
23,Bahrain,individual,none,-0.074,-0.322,-0.361
23,Bangladesh,individual,none,-0.065,-0.257,-0.296
23,Belgium,individual,none,-0.051,-0.168,-0.193
23,Bolivia (Plurinational State of),individual,none,-0.014,-0.044,-0.054
23,Botswana,individual,none,-0.014,-0.053,-0.053
23,Brazil,individual,none,-0.043,-0.117,-0.136
23,Brunei Darussalam,individual,none,-0.054,-0.225,-0.244
23,Bulgaria,individual,none,-0.073,-0.239,-0.279
23,Cameroon,individual,none,-0.057,-0.207,-0.230
23,Canada,individual,none,-0.031,-0.093,-0.114
23,Chile,individual,none,-0.141,-0.411,-0.488
23,China,individual,none,-0.045,-0.149,-0.176
23,Colombia,individual,none,-0.069,-0.213,-0.246
23,Costa Rica,individual,none,-0.120,-0.375,-0.416
23,Croatia,individual,none,-0.022,-0.080,-0.087
23,Cyprus,individual,none,-0.054,-0.203,-0.224
23,Côte d'Ivoire,individual,none,-0.077,-0.289,-0.318
23,Denmark,individual,none,-0.023,-0.083,-0.094
23,Dominican Republic,individual,none,-0.066,-0.239,-0.267
23,Ecuador,individual,none,-0.094,-0.280,-0.310
23,Egypt,individual,none,-0.086,-0.349,-0.403
23,El Salvador,individual,none,-0.084,-0.271,-0.300
23,Equatorial Guinea,individual,none,0.000,0.009,0.023
23,Estonia,individual,none,-0.037,-0.128,-0.147
23,Eswatini,individual,none,-0.016,-0.050,-0.054
23,Finland,individual,none,-0.036,-0.123,-0.143
23,France,individual,none,-0.013,-0.043,-0.049
23,Gabon,individual,none,-0.102,-0.328,-0.402
23,Georgia,individual,none,-0.049,-0.188,-0.214
23,Germany,individual,none,-0.020,-0.068,-0.080
23,Ghana,individual,none,-0.072,-0.266,-0.304
23,Greece,individual,none,-0.035,-0.117,-0.132
23,Guatemala,individual,none,-0.102,-0.294,-0.330
23,Honduras,individual,none,-0.141,-0.451,-0.505
23,India,individual,none,-0.033,-0.124,-0.149
23,Indonesia,individual,none,-0.068,-0.227,-0.280
23,Iran (Islamic Republic of),individual,none,-0.018,-0.085,-0.093
23,Iraq,individual,none,-0.031,-0.145,-0.174
23,Ireland,individual,none,-0.020,-0.078,-0.086
23,Israel,individual,none,-0.039,-0.148,-0.165
23,Italy,individual,none,-0.022,-0.079,-0.087
23,Japan,individual,none,-0.034,-0.113,-0.132
23,Jordan,individual,none,-0.019,-0.071,-0.082
23,Kenya,individual,none,-0.147,-0.438,-0.491
23,Kuwait,individual,none,-0.031,-0.159,-0.171
23,Latvia,individual,none,-0.042,-0.146,-0.168
23,Lithuania,individual,none,-0.043,-0.141,-0.155
23,Madagascar,individual,none,-0.104,-0.366,-0.413
23,Malaysia,individual,none,-0.085,-0.310,-0.356
23,Malta,individual,none,-0.145,-0.585,-0.626
23,Mauritius,individual,none,-0.078,-0.230,-0.256
23,Mexico,individual,none,-0.027,-0.093,-0.116
23,Morocco,individual,none,-0.079,-0.286,-0.322
23,Namibia,individual,none,-0.020,-0.066,-0.070
23,Netherlands (Kingdom of the),individual,none,-0.025,-0.086,-0.098
23,New Zealand,individual,none,-0.087,-0.273,-0.306
23,Nicaragua,individual,none,-0.121,-0.394,-0.439
23,Nigeria,individual,none,-0.043,-0.166,-0.186
23,Norway,individual,none,-0.016,-0.063,-0.075
23,Oman,individual,none,-0.096,-0.392,-0.460
23,Pakistan,individual,none,-0.042,-0.157,-0.182
23,Panama,individual,none,-0.068,-0.249,-0.273
23,Paraguay,individual,none,-0.061,-0.189,-0.219
23,Peru,individual,none,-0.121,-0.348,-0.417
23,Philippines,individual,none,-0.064,-0.241,-0.280
23,Poland,individual,none,-0.019,-0.069,-0.079
23,Portugal,individual,none,-0.042,-0.142,-0.160
23,Qatar,individual,none,-0.089,-0.416,-0.450
23,Republic of Korea,individual,none,-0.070,-0.253,-0.290
23,Rest of American SIDS,aggregate,none,-0.113,-0.427,-0.477
23,Rest of Asia,aggregate,none,-0.023,-0.102,-0.112
23,Rest of Asian SIDS and LDCs,aggregate,none,-0.093,-0.365,-0.424
23,Rest of Caribbean,aggregate,none,-0.059,-0.202,-0.227
23,Rest of Europe,aggregate,none,-0.016,-0.059,-0.066
23,Rest of LDC in Africa,aggregate,none,-0.084,-0.294,-0.340
23,Rest of Middle East and North Africa,aggregate,none,-0.058,-0.200,-0.214
23,Rest of Oceania,aggregate,none,-0.137,-0.459,-0.523
23,Rest of Western Africa,aggregate,none,-0.225,-0.784,-0.926
23,Rest of developing economies in Europe and Central Asia,aggregate,none,-0.022,-0.085,-0.096
23,Rest of landlocked economies in Africa,aggregate,none,-0.036,-0.123,-0.137
23,Rest of the world,aggregate,none,-0.017,-0.067,-0.076
23,Romania,individual,none,-0.019,-0.061,-0.071
23,Russian Federation,individual,none,-0.026,-0.088,-0.104
23,Saudi Arabia,individual,none,-0.061,-0.256,-0.286
23,Serbia,individual,none,-0.020,-0.062,-0.071
23,Singapore,individual,none,-0.059,-0.225,-0.249
23,Slovenia,individual,none,-0.033,-0.126,-0.138
23,South Africa,individual,none,-0.076,-0.227,-0.265
23,Spain,individual,none,-0.034,-0.119,-0.135
23,Sri Lanka,individual,none,-0.045,-0.163,-0.187
23,Sweden,individual,none,-0.023,-0.079,-0.093
23,Syrian Arab Republic,individual,none,-0.054,-0.195,-0.207
23,Thailand,individual,none,-0.065,-0.237,-0.275
23,Trinidad and Tobago,individual,none,-0.109,-0.392,-0.427
23,Tunisia,individual,none,-0.080,-0.287,-0.320
23,Türkiye,individual,none,-0.065,-0.219,-0.255
23,Ukraine,individual,none,-0.072,-0.210,-0.252
23,United Arab Emirates,individual,none,-0.070,-0.288,-0.318
23,United Kingdom of Great Britain and Northern Ireland,individual,none,-0.026,-0.091,-0.103
23,United Republic of Tanzania,individual,none,-0.101,-0.324,-0.358
23,United States of America,individual,none,-0.015,-0.049,-0.057
23,Uruguay,individual,none,-0.076,-0.210,-0.246
23,Uzbekistan,individual,none,-0.010,-0.057,-0.060
23,Venezuela (Bolivarian Republic of),individual,none,-0.024,-0.073,-0.083
23,Viet Nam,individual,none,-0.200,-0.820,-0.967
23,Zimbabwe,individual,none,-0.054,-0.159,-0.174
24,Albania,individual,none,-0.047,-0.152,-0.158
24,Algeria,individual,none,-0.092,-0.280,-0.344
24,Argentina,individual,none,-0.028,-0.095,-0.114
24,Armenia,individual,none,-0.032,-0.098,-0.125
24,Australia,individual,none,-0.058,-0.235,-0.291
24,Bahrain,individual,none,-0.077,-0.306,-0.363
24,Bangladesh,individual,none,-0.069,-0.251,-0.297
24,Belgium,individual,none,-0.050,-0.162,-0.194
24,Bolivia (Plurinational State of),individual,none,-0.014,-0.045,-0.054
24,Botswana,individual,none,-0.014,-0.065,-0.059
24,Brazil,individual,none,-0.037,-0.116,-0.137
24,Brunei Darussalam,individual,none,-0.058,-0.218,-0.244
24,Bulgaria,individual,none,-0.075,-0.230,-0.280
24,Cameroon,individual,none,-0.055,-0.222,-0.239
24,Canada,individual,none,-0.029,-0.093,-0.116
24,Chile,individual,none,-0.128,-0.419,-0.498
24,China,individual,none,-0.043,-0.145,-0.177
24,Colombia,individual,none,-0.066,-0.220,-0.252
