price,passthrough,scheme,group,n,unresolved,group_mean_per_cap,median_per_cap,losers,sign_flips,within_2x_of_mean,spread_per_cap,spread_over_mean,p10,p90
100.0,1.0,developing,all,155,63,-131.69618186422923,-16.712342862416172,88,67,66,2528.2963327704847,19.19794710052418,-373.73192307391406,52.608841047831596
100.0,1.0,sids_ldc,SIDS,37,33,160.2758827333612,300.8292801627629,6,6,14,1803.1563811433264,11.25032881049921,-374.82622765663257,426.5310654184241
100.0,1.0,sids_ldc,LDC,29,26,397.9271773262042,431.3505007213191,0,0,29,328.06375105690506,0.8244316290766238,338.99645160703807,440.2767773261478
100.0,1.0,sids_ldc,all,155,63,-2.7799374860564585,-18.923312903222183,103,52,9,2912.568142656711,1047.709942135569,-289.4613953430966,430.06132887632486
150.0,0.5,all,SIDS,37,33,-141.55849188165962,-36.14344380960829,21,16,15,1352.3672858574948,9.553416880055842,-542.885074674155,58.13289513213758
150.0,0.5,all,LDC,29,26,36.679979062972656,61.74747160930883,3,3,26,246.0478132926787,6.707959480300158,-7.518065226401963,68.44217906293035
150.0,0.5,all,all,155,63,-55.759086550744165,27.402937176961537,56,99,29,1853.2275360639478,33.236332420499714,-209.5473676103202,67.21349196707328
150.0,0.5,developing,SIDS,37,33,-149.56102523214116,-27.35917934438049,21,16,14,1438.3567128853265,9.617189442588943,-579.2408785581378,73.37074746485376
150.0,0.5,developing,LDC,29,26,51.91783139568886,76.98532394202503,3,3,26,246.04781329267874,4.739177401641433,7.719787106314236,83.68003139564654
150.0,0.5,developing,all,155,63,-71.03361155048431,26.703138057689422,72,83,46,1939.2169630917795,27.299991099474905,-280.29894230543556,82.45134429978948
150.0,0.5,sids_ldc,SIDS,37,33,452.7238906768167,558.1389387488682,4,4,33,1352.367285857495,2.9871789709081233,51.39730788432139,652.4152776906141
150.0,0.5,sids_ldc,LDC,29,26,630.9623616214493,656.0298541677852,0,0,29,246.04781329267877,0.38995640351729416,586.7643173320744,662.7245616214068
150.0,0.5,sids_ldc,all,155,63,122.34075501677482,-13.672282277525465,101,101,1,2516.9430856193294,20.573218509843407,-203.6853503293075,655.0629752840396
150.0,1.0,all,SIDS,37,33,-353.8685584584346,-143.03846231433195,32,5,26,2704.7345717149897,7.643331138255641,-1156.5217240434254,45.5142155691598
150.0,1.0,all,LDC,29,26,2.6083834308299525,52.74336852350231,7,7,0,492.0956265853575,188.6592365098636,-85.78770514791927,66.13278343074535
150.0,1.0,all,all,155,63,-182.26974779660367,-15.945700341192277,89,66,68,3706.4550721278956,20.334998632158968,-489.8463099157558,63.675409239031204
150.0,1.0,developing,SIDS,37,33,-361.87109180891616,-127.80060998161575,28,9,22,2790.723998742821,7.711928534530318,-1192.877527927408,60.752067901875996
150.0,1.0,developing,LDC,29,26,17.846235763546154,67.9812208562185,6,6,1,492.0956265853575,27.574197332444918,-70.54985281520308,81.37063576346155
150.0,1.0,developing,all,155,63,-197.54427279634385,-25.068514293624247,88,67,66,3792.444499155727,19.19794710052418,-560.5978846108711,78.91326157174741
150.0,1.0,sids_ldc,SIDS,37,33,240.4138241000418,451.24392024414453,6,6,14,2704.7345717149897,11.25032881049921,-562.2393414849489,639.7965981276361
150.0,1.0,sids_ldc,LDC,29,26,596.8907659893063,647.0257510819787,0,0,29,492.09562658535754,0.8244316290766237,508.4946774105571,660.4151659892217
150.0,1.0,sids_ldc,all,155,63,-4.1699062290847175,-28.384969354833277,103,52,9,4368.8522139850675,1047.7099421355617,-434.19209301464497,645.0919933144874
