iso3,income_group,gdp_pc,mean_distance_nm,t_per_musd,t_per_capita,share_pct,resolved,sids,ldc
COD,Low income,806.7760007085903,1191.82815253528,24.35858887966737,0.0196519249192427,0.0620679059789342,False,False,True
HND,Lower middle income,3598.2145043772175,629.8830465676849,54.74704104274622,0.1969915971517442,0.0606874907832873,True,False,False
LTU,High income,32958.670639516975,753.1003488713517,22.38588386684683,0.7378089733418811,0.0596602941096193,True,False,False
EST,High income,34417.63208181635,633.9437108398355,40.49849329863874,1.3938622422204532,0.0533150026190355,True,False,False
SVN,High income,37376.221607744024,1180.2898092894231,22.91141100155575,0.856341974940252,0.0510805681573135,True,False,False
MMR,Lower middle income,1488.8752783741043,1165.7475717961431,21.977206825102403,0.0327213199296096,0.0502389399665913,False,False,True
MRT,Lower middle income,2197.510462430845,1372.8583107354164,151.76313712400136,0.33350108164132,0.0496173673535088,False,False,True
ROU,High income,22537.953210813874,481.1909074695007,4.0469452665642764,0.0912098630645503,0.0485608628257908,True,False,False
CYP,High income,30075.263137660004,675.0949850669475,41.58875359732296,1.250792708006792,0.0479924314283914,True,False,False
LBN,Lower middle income,4440.036619179916,496.7370399769444,63.0973513690488,0.2801545506518386,0.0458710257413384,False,False,False
LVA,High income,26311.973070460037,683.3977751311166,32.93629115993709,0.8666188060410959,0.0448236725620268,True,False,False
BEN,Lower middle income,1658.2731266613835,1065.336345983075,64.61608619222872,0.1071511192826085,0.0444334902230546,False,False,True
TUN,Lower middle income,4656.638183861406,810.0564354953731,25.95241290195909,0.1208509968826,0.0417729264318262,True,False,False
HRV,High income,27103.911610855994,786.3460993897933,14.144167283648526,0.3833622598651707,0.04159521985916,True,False,False
SLE,Low income,846.2961724502862,666.5033311455372,195.8280319229141,0.1657285138748346,0.0409150953932306,False,False,True
ISL,High income,98323.48495173342,709.5914282462143,37.478752114648245,3.685041519554364,0.0404765698654953,False,False,False
CUB,Upper middle income,9815.306527637826,1214.0312874773738,12.191127959884346,0.1196596578439208,0.0366337957819704,False,True,False
MDG,Low income,599.2652942617743,1173.0745546356495,63.98497328513559,0.0383439738440485,0.0351408837149695,True,False,True
FJI,Upper middle income,6642.004494435002,938.307192165891,193.69146690815336,1.286499593737663,0.0336039914784645,False,True,False
SDN,Low income,1164.539959479423,1167.2598656606892,19.814201226903563,0.0230744290938954,0.0333680867454313,False,False,True
SLV,Upper middle income,5766.725740291065,1027.131263394299,31.61188952684124,0.1822970970336729,0.0324818211314779,True,False,False
KHM,Lower middle income,2872.4292664010977,736.6856472502819,19.74749074293255,0.0567232703479842,0.0283385922017756,False,False,True
CPV,Upper middle income,5796.4720779935,1785.6761602688014,327.4312843416905,1.897946297148159,0.0280150237632177,False,True,False
