country,co2_t,cost_usd,voyages,mean_distance_nm,co2_share_pct,rank,population,gdp_usd,cost_per_capita_usd,cost_share_of_gdp_pct
RUS,45125152.470451206,4512515247.04512,162720.0,812.589516564218,1.2631257036956813,19,143513328.0,2561310169359.0,31.44317890144057,0.17617996059315352
MEX,43696788.37173305,4369678837.173305,68615.0,1369.1166974267685,1.2231434918126645,20,131946900.0,1832641364776.0,33.11694959997775,0.2384361130966506
QAT,42802838.316920966,4280283831.692096,32015.5,1239.0661287110058,1.1981203898343897,21,2972215.0,215559615385.0,1440.098994080878,1.9856612863440584
TUR,42501024.94606889,4250102494.606889,201207.0,624.6085927247212,1.189672147433615,22,85878556.0,1597293229287.0,49.489682786549054,0.26608154449537424
GBR,37022860.51862929,3702286051.8629293,111890.5,763.8021545020911,1.0363295010702285,23,69487000.0,4002587541846.0,53.280268997984216,0.09249731612754256
BEL,35581377.7615579,3558137776.1557903,108940.5,794.6114677889552,0.9959800768088197,24,11941781.0,725466462860.0,297.957044778814,0.49046206245407614
VNM,32883893.13650621,3288389313.650621,108078.0,893.6189989797372,0.9204731371379159,25,101598527.0,514697215165.0,32.366505802299876,0.6388978251215988
ITA,31731994.250185806,3173199425.0185804,107603.5,748.2952899644883,0.8882296318705931,26,58915656.0,2551556954100.0,53.86003722030321,0.12436326063267711
THA,30310491.82685952,3031049182.685952,73907.5,1031.6357557342737,0.8484394893343461,27,71619863.0,577009981112.0,42.3213485159271,0.525302729918915
COL,29407126.90241526,2940712690.241526,39276.5,1603.1665197807565,0.8231528499899177,28,53425635.0,457410034203.0,55.04310225309491,0.6429051551887094
FRA,28070395.070826393,2807039507.082639,66131.5,904.7515734070782,0.7857355728619624,29,68720337.0,3366315927447.0,40.84728960340575,0.08338609826236619
LKA,25505809.845433693,2550580984.5433693,23563.5,1822.4851257835787,0.713948701457308,30,21756000.0,108825231671.0,117.23575034672592,2.343740459247792
CHL,25241710.86358518,2524171086.358518,35511.0,1745.5038976163305,0.7065561455537871,31,19859921.0,357371159575.0,127.0987475911167,0.7063163936788751
DEU,23968412.97680997,2396841297.680997,104857.0,592.2708962754702,0.6709144867183886,32,83491249.0,5050922925047.0,28.707694834952065,0.04745353142878722
ARG,23595403.76626554,2359540376.626554,62240.5,1307.3761096998855,0.6604733580848083,33,45851378.0,683097891619.0,51.46062080460382,0.345417604940083
NGA,22695350.052675802,2269535005.26758,31183.0,1353.2070019605721,0.6352794048657826,34,237527782.0,290794361542.0,9.554819171710953,0.7804604577725922
MAR,22212286.91031387,2221228691.0313873,41068.5,1139.6322924478272,0.621757689409532,35,38430770.0,182374250612.0,57.798183357538434,1.2179508256113614
OMN,22028995.096242957,2202899509.6242957,27024.5,1411.086744244135,0.6166270562935203,36,5494691.0,109604780696.0,400.91417508724254,2.009857139109891
PHL,21627898.845496196,2162789884.5496197,71195.0,956.7971778479298,0.6053997261630358,37,116786962.0,487086123720.0,18.51910390947253,0.44402617509032
PER,20956291.551095717,2095629155.1095717,32025.5,1548.2671043348814,0.5866003561907736,38,34576665.0,334854659182.0,60.60819211770631,0.6258324612322497
GIB,19333641.123431,1933364112.3431003,27562.5,1738.877830657148,0.5411797570107881,39,40126.0,,48182.32847388477,
NZL,18198025.0549134,1819802505.4913404,29326.5,1658.6383127195304,0.5093920340415703,40,5324700.0,264057413740.0,341.7662038220633,0.6891692528970916
GRC,17291584.432260364,1729158443.2260363,44983.5,828.3707487724907,0.4840193009500489,41,10413962.0,280635521324.0,166.04232310680953,0.6161580811538409
PAN,17243306.755918592,1724330675.591859,22005.5,1722.4444416783917,0.48266793102521766,42,4571189.0,90462600000.0,377.2171038195662,1.9061254878721805
MUS,14631076.415975748,1463107641.597575,9792.0,3306.319870913012,0.40954739611918844,43,1243741.0,16157804492.0,1176.3764655161926,9.05511415441364
MLT,14324347.398898918,1432434739.8898919,30980.0,1100.8813034750578,0.40096155686262847,44,579704.0,27771821561.0,2470.9761186569212,5.157871033931248
PRT,14313342.979589054,1431334297.9589055,34833.5,909.9366715884277,0.40065352544060423,45,10804871.0,346639825142.0,132.4712065473901,0.4129168647522146
BGD,11725421.38067978,1172542138.0679781,25645.5,1396.8021746550887,0.328213431351791,46,175686899.0,456319229256.0,6.674044249981201,0.2569565477176438
IRQ,10874562.224823106,1087456222.4823108,20805.0,890.8673916495137,0.30439651304461984,47,47020774.0,254367293538.0,23.127144238040632,0.4275141695132497
AGO,10871833.048161102,1087183304.8161101,11618.0,1820.3460451490218,0.3043201189937862,48,39040039.0,122174889424.0,27.847905193335237,0.8898582269578417
KWT,10654150.00560971,1065415000.560971,15919.0,1273.9609973899721,0.2982268199963946,49,4865298.0,157209026926.0,218.98247559778886,0.6777059952559045
GIN,10542529.380480705,1054252938.0480704,7163.0,3354.5724685216037,0.29510237890435953,50,15099727.0,28346024753.0,69.81933766405648,3.7192267601350117
TTO,9686905.975292752,968690597.5292752,12442.5,1688.3223628990797,0.2711521015843166,51,1367764.0,25942749718.0,708.2293418523043,3.733954989579086
DNK,9680174.565373736,968017456.5373735,33800.5,920.1744947604352,0.2709636785779591,52,6009169.0,462526660468.0,161.09007028049527,0.20928900737481834
DOM,9544121.086480627,954412108.6480626,16380.5,1217.1333311951698,0.26715532255346397,53,11520487.0,127407463759.0,82.84477111497652,0.749102195812797
PAK,9193947.48205556,919394748.205556,20794.0,1004.3528625015002,0.2573533993179757,54,255219554.0,407307214476.0,3.6023679761056084,0.2257251321679523
ECU,9160289.39811162,916028939.8111621,19135.0,1250.5576024159213,0.2564112553330978,55,18289896.0,130320560400.0,50.0838790888238,0.7029043897597927
SWE,8445507.824021958,844550782.4021958,49433.0,623.8601543041246,0.23640336772868642,56,10596620.0,668998664082.0,79.70001589206707,0.12624102673823548
NOR,8285762.194466319,828576219.4466319,44692.0,608.197625439094,0.23193183024464348,57,5610870.0,530755719439.0,147.67339457991932,0.15611253710509673
TGO,7961561.777434895,796156177.7434895,15168.0,1186.3755838273958,0.22285693836102263,58,8591626.0,11889949067.0,92.6665310784582,6.696043635318707
GHA,7446142.440055029,744614244.0055028,9690.0,1657.6018473173885,0.208429520887971,59,35064272.0,114209905279.0,21.23569666598248,0.6519699339444391
MOZ,7423365.123729458,742336512.3729458,13522.0,1664.9873691108742,0.20779194711509844,60,35631653.0,22337997046.0,20.833625438958606,3.3232008708939906
DZA,7303252.964430986,730325296.4430985,25984.5,829.0041672840174,0.204429814303788,61,47435312.0,287031225988.0,15.396236804410574,0.2544410608738547
BHS,7286019.936955573,728601993.6955574,9400.5,1363.7160645241709,0.20394743410638166,62,403033.0,15832800000.0,1807.797360750999,4.6018518120329786
JAM,7076431.42960145,707643142.9601451,13271.0,1246.9112895196417,0.19808071418756126,63,2837077.0,22704903218.0,249.4268371849425,3.116697464709471
CIV,6190108.394294592,619010839.4294591,10579.5,1536.6605932553255,0.17327110477057897,64,32711547.0,99773555666.0,18.92331290322219,0.6204157357102192
ISR,5989393.259949392,598939325.9949392,16580.0,805.1022521614522,0.1676527648552032,65,10122800.0,610777842874.0,59.16735745000783,0.09806173111595617
GTM,5963005.250556031,596300525.0556031,14860.5,1052.9808015832743,0.16691412196738264,66,18687881.0,123306008821.0,31.9084076496208,0.4835940525179406
