iso3,co2_t,share_pct,resolved,sids,ldc,dependency,t_per_capita,t_per_musd
BGD,11725421.38067978,0.328213431351791,True,False,True,False,0.06674044249981201,25.695654771764378
IRQ,10874562.224823106,0.30439651304461984,True,False,False,False,0.23127144238040628,42.75141695132496
AGO,10871833.048161102,0.3043201189937862,False,False,True,False,0.2784790519333524,88.9858226957842
KWT,10654150.00560971,0.2982268199963946,True,False,False,False,2.1898247559778885,67.77059952559044
GIN,10542529.380480705,0.29510237890435953,False,False,True,False,0.6981933766405648,371.9226760135012
TTO,9686905.975292752,0.2711521015843166,True,True,False,False,7.082293418523043,373.39549895790856
DNK,9680174.565373736,0.2709636785779591,True,False,False,False,1.610900702804953,20.928900737481836
DOM,9544121.086480629,0.267155322553464,True,True,False,False,0.8284477111497656,74.91021958127972
PAK,9193947.48205556,0.2573533993179757,True,False,False,False,0.03602367976105608,22.57251321679523
ECU,9160289.39811162,0.2564112553330978,True,False,False,False,0.500838790888238,70.29043897597927
SWE,8445507.824021958,0.23640336772868642,True,False,False,False,0.7970001589206708,12.624102673823547
NOR,8285762.194466319,0.23193183024464348,True,False,False,False,1.4767339457991933,15.611253710509672
TGO,7961561.777434895,0.22285693836102263,False,False,True,False,0.9266653107845819,669.6043635318707
GHA,7446142.440055029,0.208429520887971,True,False,False,False,0.21235696665982481,65.19699339444392
MOZ,7423365.123729458,0.20779194711509844,False,False,True,False,0.20833625438958608,332.320087089399
DZA,7303252.964430986,0.204429814303788,True,False,False,False,0.15396236804410576,25.444106087385475
BHS,7286019.936955573,0.20394743410638166,False,True,False,False,18.07797360750999,460.1851812032978
JAM,7076431.42960145,0.19808071418756126,False,True,False,False,2.494268371849425,311.6697464709471
CIV,6190108.394294592,0.17327110477057897,True,False,False,False,0.18923312903222192,62.041573571021935
ISR,5989393.259949392,0.1676527648552032,True,False,False,False,0.5916735745000782,9.806173111595617
GTM,5963005.250556031,0.16691412196738264,True,False,False,False,0.31908407649620796,48.35940525179406
URY,5892064.435968472,0.16492837429804605,True,False,False,False,1.740799871647984,69.03601026062216
