end_anchorage_flag,visits,at_dock
CYP,7044,0.03676888131743328
ISL,6996,0.5876214979988564
SLE,6844,0.32481005260081824
KEN,6438,0.9993786890338614
COG,6239,0.007212694342041994
PRI,5852,0.9974367737525632
BRN,5713,0.14913355504988624
TZA,5547,0.05029745808545159
GEO,5456,0.10502199413489736
KHM,4821,0.08587429993777225
HRV,4647,0.3565741338497956
GUY,4566,0.9559789750328516
VIR,4561,0.8443323832492874
CUB,4478,0.8287181777579277
SDN,4309,0.08911580413088883
MRT,4185,0.024850657108721624
GAB,4185,0.017921146953405017
NAM,4078,0.0017165277096615988
SLV,4023,0.07208550832711906
YEM,3967,0.3012351903201412
NCL,3855,0.8220492866407263
FJI,3854,0.10975609756097561
BEN,3723,0.0362610797743755
GRL,3635,0.9950481430536451
MDG,3561,0.31788823364223534
HTI,3531,0.4412347776833758
COD,3486,0.6577739529546759
NIC,3161,0.10597912053147739
GNQ,3127,0.29613047649504315
BES,2942,0.14309993201903468
FRO,2908,0.4955295735900963
REU,2861,0.6420831876966095
GLP,2803,0.0624331073849447
BRB,2699,0.11782141533901445
LCA,2695,0.6025974025974026
SLB,2661,0.27132656895903795
SUR,2621,1.0
LBR,2524,0.08240887480190175
ABW,2494,0.4699278267842823
MTQ,2438,0.5541427399507793
ALB,2186,0.12671546203110703
TKM,2162,0.4213691026827012
CUW,2148,1.0
CPV,2096,0.0916030534351145
SOM,2090,0.15406698564593302
MDV,1844,0.22234273318872017
AZE,1748,0.36327231121281467
SXM,1679,0.02144133412745682
SYR,1649,0.34081261370527594
SVN,1600,0.0125
VCT,1554,0.9041184041184042
GUM,1514,0.9392338177014531
FSM,1431,0.6610761705101328
ATG,1413,0.06157112526539278
GRD,1292,0.6787925696594427
GMB,1121,0.027653880463871544
MNE,1071,0.3828197945845005
COM,1044,1.0
VUT,1005,0.9383084577114428
MHL,1003,0.9471585244267199
PYF,982,0.7413441955193483
WSM,954,1.0
ESH,950,0.2073684210526316
SYC,880,0.08409090909090909
ASM,856,0.053738317757009345
TON,852,0.9988262910798122
BLZ,837,0.0979689366786141
KNA,729,0.2729766803840878
GUF,712,1.0
MNP,691,1.0
DMA,653,1.0
TLS,577,0.1195840554592721
MYT,557,0.09515260323159784
VGB,552,0.9963768115942029
MAF,531,0.4783427495291902
KIR,466,0.0536480686695279
PLW,443,0.8329571106094809
COK,409,0.3594132029339853
KAZ,401,0.17955112219451372
ERI,396,0.9242424242424242
FLK,392,0.017857142857142856
CXR,350,1.0
GNB,349,0.014326647564469915
CYM,298,0.6577181208053692
SJM,290,0.1724137931034483
PRY,268,1.0
ATA,228,0.27631578947368424
BMU,227,1.0
NIU,169,1.0
NRU,123,1.0
TUV,118,0.0
HKG,112,0.7142857142857143
WLF,110,0.9545454545454546
STP,99,0.0
PRK,96,0.25
SHN,72,0.20833333333333334
MSR,32,0.8125
CCK,24,1.0
SGS,23,0.0
BLM,11,1.0
AIA,8,0.875
MDA,2,1.0
SPM,2,1.0
IMN,1,1.0
