iso3,share_pct,resolved,sids,ldc,population,t_per_capita,t_per_musd,net_all,net_developing,net_sids_ldc
ARG,0.6604733580848083,True,False,False,45851378.0,0.5146062080460383,34.54176049400831,-4.292904341193592,5.865663880617213,-51.46062080460382
NGA,0.6352794048657826,True,False,False,237527782.0,0.0955481917171095,78.04604577725921,37.61289729169928,47.77146551351008,-9.554819171710953
MAR,0.621757689409532,True,False,False,38430770.0,0.5779818335753842,121.79508256113613,-10.630466894128189,-0.4718986723173949,-57.79818335753842
OMN,0.6166270562935204,True,False,False,5494691.0,4.009141750872426,200.98571391098912,-353.7464586238324,-400.9141750872426,-400.9141750872426
PHL,0.605399726163036,True,False,False,116786962.0,0.1851910390947253,44.402617509032005,28.648612553937703,38.8071807757485,-18.51910390947253
PER,0.5866003561907736,True,False,False,34576665.0,0.6060819211770632,62.583246123224974,-13.440475654296076,-3.281907432485276,-60.60819211770631
NZL,0.5093920340415703,True,False,False,5324700.0,3.4176620382206324,68.91692528970917,-294.59848735865296,-341.7662038220632,-341.7662038220632
GRC,0.4840193009500489,True,False,False,10413962.0,1.6604232310680953,61.6158081153841,-118.87460664339932,-166.04232310680953,-166.04232310680953
PAN,0.4826679310252176,True,False,False,4571189.0,3.7721710381956624,190.61254878721803,-330.049387356156,-377.2171038195662,-377.2171038195662
MUS,0.4095473961191884,True,True,False,1243741.0,11.763764655161925,905.511415441364,-1129.2087490527822,-1119.0501808309712,-733.0204940137977
MLT,0.4009615568626284,True,False,False,579704.0,24.70976118656921,515.7871033931248,-2423.8084021935106,-2470.976118656921,-2470.976118656921
PRT,0.4006535254406042,True,False,False,10804871.0,1.324712065473901,41.29168647522147,-85.30349008397985,-132.47120654739007,-132.47120654739007
BGD,0.328213431351791,True,False,True,175686899.0,0.066740442499812,25.695654771764374,40.49367221342903,50.65224043523983,436.6819272524133
IRQ,0.3043965130446198,True,False,False,47020774.0,0.2312714423804062,42.75141695132496,24.040572225369612,34.19914044718041,-23.12714423804062
AGO,0.3043201189937862,False,False,True,39040039.0,0.2784790519333524,88.9858226957842,19.319811270075,29.47837949188579,415.50806630905925
KWT,0.2982268199963946,True,False,False,4865298.0,2.1898247559778885,67.77059952559044,-171.81475913437865,-218.98247559778886,-218.98247559778886
GIN,0.2951023789043595,False,False,True,15099727.0,0.6981933766405648,371.9226760135012,-22.651621200646233,-12.493052978835433,373.53663383833805
TTO,0.2711521015843166,True,True,False,1367764.0,7.082293418523043,373.39549895790856,-661.0616253888942,-708.2293418523044,-264.87337034991
DNK,0.2709636785779591,True,False,False,6009169.0,1.610900702804953,20.92890073748184,-113.92235381708505,-161.0900702804953,-161.0900702804953
DOM,0.267155322553464,True,True,False,11520487.0,0.8284477111497656,74.91021958127972,-35.67705465156631,-25.518486429755516,360.51120038741794
PAK,0.2573533993179757,True,False,False,255219554.0,0.036023679761056,22.57251321679523,43.565348487304625,53.72391670911543,-3.602367976105608
ECU,0.2564112553330978,True,False,False,18289896.0,0.500838790888238,70.29043897597927,-2.9161626254135653,7.242405596397232,-50.0838790888238
SWE,0.2364033677286864,True,False,False,10596620.0,0.7970001589206708,12.624102673823549,-32.532299428656835,-79.70001589206706,-79.70001589206706
NOR,0.2319318302446434,True,False,False,5610870.0,1.4767339457991933,15.611253710509672,-100.50567811650905,-147.6733945799193,-147.6733945799193
TGO,0.2228569383610226,False,False,True,8591626.0,0.926665310784582,669.6043635318707,-45.49881461504796,-35.340246393237166,350.6894404239363
GHA,0.208429520887971,True,False,False,35064272.0,0.2123569666598248,65.19699339444392,25.932019797427753,36.09058801923855,-21.235696665982484
MOZ,0.2077919471150984,False,False,True,35631653.0,0.208336254389586,332.320087089399,26.334091024451634,36.49265924626243,422.5223460634359
DZA,0.204429814303788,True,False,False,47435312.0,0.1539623680441057,25.444106087385475,31.77147965899966,41.930047880810456,-15.396236804410574
BHS,0.2039474341063816,False,True,False,403033.0,18.07797360750999,460.1851812032978,-1760.629644287588,-1807.7973607509985,-1364.4413892486039
JAM,0.1980807141875612,False,True,False,2837077.0,2.494268371849425,311.6697464709471,-202.2591207215322,-192.10055249972137,193.9291343174521
